Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "v3.brd" as of: 1/4/2021 6:48 PM
Measurements are in inches. Comma delimited
Only surface mount components included

Designator,Layer,Mid X,Mid Y,Rotation
C1,Top,19.558,5.842,0
C2,Top,56.134,28.829,180
C3,Top,22.606,16.510,180
C4,Top,39.624,22.479,90
C5,Top,10.287,5.588,270
C6,Top,30.607,21.590,90
C23,Top,18.669,27.559,0
C25,Top,33.782,23.749,0
C29,Top,50.800,25.908,90
C30,Top,42.164,23.876,180
D1,Top,8.763,14.097,90
D2,Top,10.287,12.827,90
D3,Top,10.287,18.034,90
D4,Top,8.763,19.177,90
D5,Top,10.287,22.860,90
D6,Top,12.065,27.559,180
D7,Top,8.763,24.257,90
D8,Top,8.763,9.017,90
D9,Top,37.465,24.257,90
IC1,Top,56.388,24.511,270
IC2,Top,33.782,26.289,180
IC3,Top,32.004,1.905,0
L2,Top,46.609,24.511,270
L3,Top,36.957,21.336,180
R1,Top,27.178,22.733,90
R2,Top,25.400,22.733,90
R5,Top,17.780,7.620,180
R6,Top,17.780,10.160,180
R7,Top,27.178,7.366,0
R8,Top,27.178,5.207,0
R9,Top,17.780,12.700,180
R10,Top,17.780,15.240,180
R11,Top,17.780,17.780,180
R12,Top,17.780,20.320,180
R13,Top,17.780,22.860,180
R14,Top,17.780,25.400,180
R15,Top,13.081,7.620,180
R16,Top,13.081,10.160,180
R17,Top,13.081,12.700,180
R18,Top,13.081,15.240,180
R19,Top,13.081,17.780,180
R20,Top,13.081,20.320,180
R21,Top,13.081,22.860,180
R22,Top,13.081,25.400,180
R23,Top,16.129,2.286,90
R24,Top,23.368,2.286,90
R26,Top,27.178,3.048,180
R48,Top,30.480,26.543,270
R49,Top,40.132,26.289,270
R50,Top,42.291,26.289,90
U1,Top,21.971,10.668,0
U2,Top,21.971,22.098,0
X4,Bottom,40.259,10.668,180
